,Street Name,Registration Date ,Paid By ,Secured Date,Notes
759,LIBERTY AVENUE,7/7/16,7/7/16,$250.00 paid by bank,
114,LINCOLN STREET,1/6/12,3/5/12,$250.00 PAID 2-6-12/$500.00 paid by owner 1-12-2016,
122,LINCOLN STREET,6/18/14,6/18/14,$250. PD BY BANK ( FANNIE MAE),
277,LINDEN AVENUE,3/16/17,3/16/17,$250.00 PAID BY OWNER 3/16/2017,
262,LINDEN AVENUE,5/7/13,5/7/13,$500 PD BY BANK 6/4/14 $500.00 paid by bank 10/261/16,
312,LINDEN AVENUE,3/21/13,5/1/13,warrant for owner,
218,LINDEN AVENUE,,8/13/15,$250 PAID 5/2/17,
9,LINEAU PLACE,7/10/17,7/10/17,VBR PAID BY BANK 7-10-2017,
22,LONG STREET,4/26/17,,VBR SENT TO NEW OWNER 4-26-2017,
66,MADISON AVENUE,11/24/14,11/24/14,$250 PD BY BK 11-24-14,
35,MADISON AVENUE,7/1/16,7/1/16,$250.00 paid by bank 3/18/17,
28,MAGNOLIA AVENUE,1/3/12,3/5/12,,
78,MALLORY AVENUE,1/12/12,3/8/12,$500.00 paid 10/26/16,
91,MALLORY AVENUE,11/3/11,12/15/11,,
107,MALLORY AVENUE,1/12/12,8/30/16,$500.00 paid by Assurant 11/29/16,
166,MALLORY AVENUE,1/12/12,3/8/12,$250 PD BY BK2-23-12 $5001-27-14 VBR PAID BY BANK $250 1/24/17,
208,MALLORY AVENUE,10/18/12,10/18/12,$500.00 paid by bank 10/26/16,
19,MANHATTAN AVENUE,7/19/12,7/19/12,$250 PAID 12/29/17,
41,MANHATTAN AVENUE,5/6/14,6/16/14,,
35,MANHATTAN AVENUE,10/12/16,11/2/16,$250.00 PAID BY WELLS FARGO BANK,
12,MANNING AVENUE,1/12/12,3/8/12,$250.00 paid by bank 10/-14-2015 VBR SENT TO NEW OWNER 12/27/16,
14,MANNING AVENUE,1/12/12,3/1/12,,
376,MARIN BOULEVARD,1/12/12,3/8/12,,
14,MARION PLACE,3/15/16,3/15/16,$500 PAID 4/7/18,
30,MARION PLACE,6/22016,,,
30,MARION PLACE,7/28/16,7/28/16,$250.00 paid by owner,
123,MARTIN LUTHER KING,5/26/17,5/26/17,$250.00 PAID BY OWNER 5-26-2017,
14,MARTIN LUTHER KING,12/14/11,2/15/12,$250.00 PAID 1-17-12 $500.00 pd by bank $500 PAID BY BANK 2/7/17,
32,MARTIN LUTHER KING,4/30/14,4/30/14,$250. pd 4-30-14 $50.00 pd by bank 4-22-2015/$500.00 paid by bank 4-25-2016,
181,MARTIN LUTHER KING,3/16/12,3/16/12,$500.00 by bank 5-12-2015/$500.00 paid by bank 6/6/17,
260,MARTIN LUTHER KING,11/13/11,12/28/11,$25000 paid by owner 4-21-2015,
292,MARTIN LUTHER KING,JCRA,JCRA,,
421,MARTIN LUTHER KING,JCRA,JCRA,,
469,MARTIN LUTHER KING,11/14/11,1/3/11,,
479,MARTIN LUTHER KING,11/30/11,2/7/12,SUMMONS ISSUED 4-12-2012 @10-11-12 pd,
545,MARTIN LUTHER KING,2/7/12,3/23/12,,
467.5,MARTIN LUTHER KING,,1/22/15,Paid $250.00 by bank $500.00 paid by owner 10-14-2015,
127-133,MARTIN LUTHER KING,12/9/15,12/9/15,$250.00 Paid by owner,
164.5,MARTIN LUTHER KING,4/5/11,3/14/12,$250.00 paid by owner,
198,MC ADOO AVENUE,3/20/17,3/20/17,VBR $250.00 PAID BY SINGLE SOURCE PROPERTY SOLUTIONS 3/20/2017,
90,MC ADOO AVENUE,1/5/16,12/15/15,new vbr sent 1/24/17,
41,MCADOO AVENUE,11/28/11,2/2/12,$250.00 PAID BY BANK $500.00 PAID BY BANK /$500.00 paid by bank 2/7/17,
118,MCADOO AVENUE,10/29/12,10/29/12,$250.00 PAID BY BANK 10/17/2016VR VBR SENT TO NEW OWNER 4/11/17,
18,MCDOUGAL STREET .,12/29/11,3/1/12,,
493,MERCER STREET,3/15/12,3/15/12,$250.00 PAID BY BANK $500.00 PD 4-1-14,
158-162,MERCER STREET,2/23/12,3/30/12,$500.00 PAID 3-27-14 /$500.00 paid by owner 3-24-2016,
4,MERCER STREET,12/14/11,2/15/12,$500.00 paid by bank 2-9-2016 $250 PAID BY NEW OWNER 1/18/17,
453,MERCER STREET,10/14/16,11/3/16,,
202,MERSELES STREET,2/15/18,2/15/18,$250.00 PAID BY OWNER 2/15/2018,
28,MINA DRIVE,9/4/13,10/16/13,,
125,MONITOR STREET,12/14/11,2/15/12,$500.00 paid by owner - $500.00 paid by owner 11-19-2015,
427.5,MONMOUTH STREET,2/22/12,2/22/12,$500 PAID 2/14/18,8 BY TITLE COMPANY FOR NEW OWNER
427A,MONMOUTH STREET,2/21/12,3/22/13,$250.00 PAID BY BANK $250 4-17-14 BY BANK,
227,MONTGOMERY STREET,12/29/11,3/1/12,,
618,MONTGOMERY STREET,,,VBR SENT TO NEW OWNER 3/13/2018,
243,MONTGOMERY STREET,5/6/17,5/6/17,$250 PAID 5/6/17,
16,MONTICELLO AVENUE,11/19/13,12/27/16,$500 pd by bk 10-29-14 $500.00 paid by bank 10-19-2015VBR SENT TO NEW OWNER 12/27/16,
24,MONTICELLO AVENUE,4/3/2018,4/3/2018,$250.00 VBR PAID BY OWNER 4/3/2018,
137,MONTICELLO AVENUE,11/17/11,1/7/12,$250 PAID BY OWNER 1/2/18,
142,MONTICELLO AVENUE,5/6/14,6/16/14,$250.00 paid by owner 5-16-2016,
143,MONTICELLO AVENUE,2/28/18,2/28/18,$500.00 VBR PAID BY OWNER 2/28/2018,
238,MONTICELLO AVENUE,3/21/12,3/21/12,$250.00 PAID BY OWNER,
112,MONTICELLO AVENUE,4/3/18,4/3/18,VBR $250.00 PAID BY OWNER 4/3/2018,
141,MONTICELLO AVENUE,6/8/16,6/8/16,$250.00 paid by bank,
16,MORTON PLACE,7/19/12,8/24/12,$500.00 paid by bank 3-30-2015/$500 paid by bank 3-29-2016,
20,MORTON PLACE,5/18/12,5/18/12,$250.00 PAID BY BANK,
116,MYRTLE AVENUE,4/8/13,5/15/13,$500.00 paid by bank 12-2014 $500.00 paid by bank 10-27-2015,
139,MYRTLE AVENUE,7/30/12,12/22/14,$250.00 paid by bank 9-25-2015/$500.00 paid by bank 12-4-2015,
149,MYRTLE AVENUE,4/22/14,4/22/14,$250 pd 4-22-14 $500.00 pd by bank 6/7/17,
210,MYRTLE AVENUE,4/26/17,,VBR SENT TO NEW OWNER 4-26-2017,
209,MYRTLE AVENUE,11/16/11,1/4/12,$250.00 PAID BY O 3-20-12 / 9-26-14 pd $250,
7,MYRTLE AVENUE,12/22/16,,,SUMM ISS 4-3-2011 @1 WARRANT
9,MYRTLE AVENUE,12/29/11,3/1/12,$500.00 paid by bank 6-29-2016,
73,MYRTLE AVENUE,7/17/12,7/17/12,$250.00 paid by bank 6-6-2014 VBR SENT 1/3/17,
91,MYRTLE AVENUE,1/2/18,1/2/18,$250 PAID 1/2/18,
52,NELSON AVENUE,11/13/12,11/13/12,$250.00 PAID BY BANK $500.00 paid by bank 2/11/2015,
38,NEPTUNE AVENUE,12/11/15,12/11/15,$500 PAID BY BANK 1/16/18,
115,NEPTUNE AVENUE,5/26/16,,VBR ISSUED TON NEW OWNER SUMMONS ISSUED TO ESTATE 2/15/17,
256,NEPTUNE AVENUE,7/26/17,,VBR ISSUED TO BANK 7/26/2017,
68,NEPTUNE AVENUE,8/26/16,9/16/16,$250 PAID BY OWNER,
10,NEVIN STREET,4/19/17,4/19/17,VBR ISSUED TO NEW OWNER,
12,NEW STREET,9/18/12,9/18/12,$500.00 paid by bank 9-10-2015/$500.00 paid by bank 8-15-2016,
274,NEW YORK AVENUE,9/19/14,11/1/14,,
305,NEW YORK AVENUE,10/14/14,10/24/14,"Paid $250, by owner 10-24-14 /$500.00 paid by owner 12-27-2015",
396,NEW YORK AVENUE,1/31/12,3/21/12,VBR ISSUED TO NEW OWNER 6/20/17,
161,NEW YORK AVENUE,2/10/16,2/10/16,$500 PAID 4/18/18,
155,NEWARK AVENUE,12/15/15,12/15/15,$250.00 paid by owner,
39,NEWKIRK STREET,10/28/11,12/1/11,$250.00 PAID 11-15-11// $500 PD 6-26-14,
349,NINTH STREET,4/12/16,5/19/16,$250.00 paid by owner,
132,NORTH STREET,9/4/12,9/4/12,$500 pd bank 10-20-14 $500.00 paid by bank 10-2-2015,
192,NORTH STREET,,,VBR SENT TO OWNER 4-12-2017,
130,NORTH STREET,8/2/16,8/2/16,$250 PAID BY BANK $ 250 PAID BY NEW OWNER,
33.5,OAK STREET,4/8/18,,$250 PAID 4/18/18,
13,OAK STREET,12/14/11,2/14/12,$250.00 PAID 1-23-12,
37.5,OAK STREET,7/7/17,,VBR SENT TO NEW OWNER 7-7-2017,
62,OAK STREET,11/24/14,11/24/14,$250 PD BY BK 11-24-14/$500.00 paid by bank 12-3-2015 VBR SENT 1/3/17,
66,OAK STREET,6/21/17,,VBR SENT TO OWNER 6/21/2017,
89,OAK STREET,10/4/13,11/5/13,$250.00 paid by bank 10-1-2015,
66.5,OAK STREET,1/15/15,1/22/15,,
101,OAK STREET,6/5/17,6/5/17,$250.00 PAID BY SAFEGUARD 6/29/2017,
14,OAKDALE RD,1/31/17,,,
187,OAKLAND STREET,1/3/12,3/5/12,SUMM ISS 5-24-12 @1 dism $250.00 PAID,
594,OCEAN AVENUE,,,VBR SENT TO OWNER 6/20/2017,
103,OCEAN AVENUE,7/27/12,7/27/12,$250.00 PAID BY BANK/ $250 pd 10-17-14,
335,OCEAN AVENUE,5/25/17,5/25/17,$250.00 PAID BY SLS 5/25/2017,
331,OCEAN AVENUE,11/1/11,12/8/11,$250.00 PAID/$500.00 paid by owner 3-9-2016,
487,OCEAN AVENUE,2/7/12,3/23/12,$250.00 PAID 3-6-12,
505,OCEAN AVENUE,12/5/14,1/15/15,,
668,OCEAN AVENUE,1/30/12,3/1/12, VBR ISSUED TO NEW OWNER4/18/18,
678,OCEAN AVENUE,12/29/11,2/29/12,,
758,OCEAN AVENUE,12/28/12,2/29/12,$250.00 paid by bank 2-25-2015/$500.00 paid by bank 3/23/17,
275-279,OCEAN AVENUE,5/22/14,5/22/14,,
510,OCEAN AVENUE,5/3/17,5/3/17,$250 PAID BY BANK 5/3/17,
658,OCEAN AVENUE,5/2/16,4/22/15,$500.00 pd by bank 4-22-2015/$500.00 paid by bank 5/16/17,
272,OCEAN AVENUE,7/31/12,9/5/12,$250.00 PAID 2-26-14,
377,OCEAN AVENUE,9/18/14,11/1/14,$250 11-25-14 PAID BY OWNER,
512,OCEAN AVENUE,5/7/15,5/19/15,$250 PD BY BANK,
438,OCEAN AVENUE,7/8/15,7/8/15,$250.00 paid by bank/$500.00 paid by bank 6/27/17,
311,OCEAN AVENUE,6/30/15,10/7/15,$250.00 paid by owner,
640,OCEAN AVENUE,11/18/16,,,
115,OCEAN AVENUE,3/17/17,3/17/17,$250.00 BY OWNER 3-17-2017,
812,OCEAN AVENUE,6/22/17,6/22/17,VBR SENT IN 6/22/2017 NO FEE FANNIE MAE PROPERTY,
101,OCEAN AVENUE,12/16/13,1/20/14,,
105,OCEAN AVENUE,11/19/13,12/30/13,$250.00 paid by owner 1-30-2015/$500.00 paid by owner 7-28-2016,
311,OCEAN AVENUE,2/7/12,3/23/12,$250.00 PAID 3-30-12 $500 PAID 4-7-14,
220,OCEAN AVENUE,7/7/05,7/7/05,Warrant for owner 1/14/16,
354,OGDEN AVENUE,6/5/17,6/5/17,$250.00 PAID BY NEW OWNER 6-5-2017,
379,OGDEN AVENUE,9/10/14,9/10/14,VBR SENT TO NEW OWNER 6/20/17,
401,OGDEN AVENUE,1/3/12,3/5/12,$500 PD 11-24-14 $500.00 paid by bank 11/2/16,
461,OGDEN AVENUE,12/22/16,1/19/17,VBR ISSUED TO NEW OWNER 5/16/17,
100,OLD BERGEN ROAD,4/12/17,,VBR PAID BY MORTGAGE COMPANY 4-12-2017,
105,OLD BERGEN ROAD,10/28/11,12/1/11,$250.00 PAID 11-29-11 $500.00 pd by owner 8-25-2015,
275,OLD BERGEN ROAD,11/24/14,11/24/14,$250 paid 1/24/18,
306,OLD BERGEN ROAD,6/1/12,8/1/12,$250.PD 8-7-12 $500 PD BK 7/16/14 $500 10-2014 /$500.00 pd by bank 6/7/17,
162-164,OLD BERGEN ROAD,10/13/15,10/13/15,$500.00 Paid by bank,
218,OLD BERGEN ROAD,5/10/17,,VBR SENT TO OWNER 5-10-17,
144,OLD BERGEN ROAD,3/22/16,3/22/16,$250.00 paid by bank,
220,OLD BERGEN ROAD,12/27/17,12/27/17,$250 PAID 12/27/17,
221,OLEAN AVENUE,12/28/11,2/29/12,$250.00 PAID/$500.00 paid by owner 2-23-2016,
200,OLEAN AVENUE,,,VBR SENT TO NEW OWNER 4/10/2018,
91,ORIENT AVENUE,2/26/18,2/26/18,$250.00 VBR PAID BY M&M MORTGAGE SERVICES 2/26/2018,
61,ORIENT AVENUE,11/18/11,1/6/12,$250.00 paid byl owner 4-19-2016,
93.5,ORIENT AVENUE,2/6/13,3/14/13,$500.00 paid by bank 6/14/17,
99.5,ORIENT AVENUE,6/28/17,,VBR SENT TO NEW OWNER 6/28/2017,
97,ORIENT AVENUE,8/5/14,9/10/14,,
98,ORIENT AVENUE,2/7/12,3/23/12,$500 pd by bk 11-14 $500.00 by bank 10-26/16,
112,ORIENT AVENUE,2/7/12,3/23/12,,
81A,ORIENT AVENUE,12/29/11,3/1/12,$250.00 PAID BY BANK,
81,ORIENT AVENUE,12/29/11,3/1/12,,
81.5,ORIENT AVENUE,12/29/12,2/29/12,$250.00 paid by owner 4-7-2015,
112.5,ORIENT AVENUE,9/25/15,10/20/15,"$1,000 PAID 3/28/18",
129,ORIENT AVENUE,11/25/16,11/25/16,$ 250 paid 5/10/17,
37,OXFORD AVENUE,12/16/11,2/17/12,$250.00 PAID4-1-12 $500 pd 4-25-14 /$500.00 paid by owner 12-10-2015,
113,OXFORD AVENUE,12/30/13,12/30/13,$500.00 by bank 10-16-2015/$500.00 paid by bank 6/27/2016,
326,PACIFIC AVENUE,12/17/12,6/15/15,$250.00 paid by bank,
398,PACIFIC AVENUE,7/21/17,,$250 paid 1/24/18,
428,PACIFIC AVENUE,,,Warrant for owner,
435,PACIFIC AVENUE,6/2/17,6/2/17,$250.00 PAID BY MORTGAGE COMPANY 6-2-2017,
368,PACIFIC AVENUE,12/30/15,,VBR SENT TO NEW OWNER 10-11-2016,
51,PACIFIC AVENUE,5/25/16,5/25/16,$250.00 paid by owner,
417,PALISADE AVENUE,11/2/11,12/9/11,$250.00 NEW OWNER 7-29-2015 by owner $500.00,
520,PALISADE AVENUE,2/25/12,9/29/16,$250.00 paid by Pronti Management 9/29/2016,
671,PALISADE AVENUE,12/29/11,3/1/12,VBR ISSUED TO NEW OWNER,
380,PALISADE AVENUE,10/1/15,10/1/0215,$250.00 Paid by owner 10-1-2015,
391,PALISADE AVENUE,5/12/16,8/25/16,$250.00 paid by owner,
389,PALISADE AVENUE,5/11/16,8/25/15,$250.00 paid by owner,
387,PALISADE AVENUE,8/25/16,8/25/16,$250.00 paid by owner,
360,PALISADE AVENUE,9/20/16,9/20/16,$250.00 PAID ON 9-29-16,
549,PALISADE AVENUE,10/28/16,11/2/16,VBR ISSUED TO NEW OWNER,
40,PAMRAPO AVENUE,6/26/12,9/1/15,$250.00 paid by owner,
24,PAMRAPO AVENUE,2/1/16,2/1/16,$250.00 paid by bank,
77,PAMRAPO AVENUE,5/11/16,6/18/16,$250.00 paid by owner,
74,PAMRAPO AVENUE,6/28/17,6/28/17,$250 PAID 6/28/17,
2,PARK STREET,3/1/12,9/15/16,$250.00 paid by Mortgage Contracting Services on 9-15-2016,
56,PARK STREET,11/24/14,11/24/14,$250.00 PAID BY OWNER 11/17/2016 VR,
52,PARK STREET,9/21/16,3/18/17,$250 PAID BY NEW OWNER,
8,PARK STREET,1/3/17,,,
19,PARNELL PLACE,5/10/17,,VBR SENT TO OWNER 5-10-17,
42,PASSAIC AVENUE,11/16/11,1/5/12,$250 PAID 1-26-12 $500 PD 5-6-14 /$500.00 paid by bank 10/18/16,
223,PAVONIA AVENUE,4/24/12,4/24/12,$500 PD 6-2014 $500.00 paid by owner 10-13-2015,
304,PAVONIA AVENUE,4/4/12,4/4/12,$250.00 PAID,
177,PEARSALL AVENUE,2/7/12,3/23/12,$250 PD 5-12-13/ $500 PD BY BANK $500.00 by bank 5-2015,
202,PEARSALL AVENUE,2/15/18,2/15/18,$250.00 PAID BY BANK 2-15-2018,
20,PEARSALL AVENUE,5/12/16,8/16/16,$250.00 paid by owner,
206,PEARSALL AVENUE,10/5/16,,,
217,PEARSALL AVENUE,4/18/17,4/18/17,$250.00 VBR PAID BY OWNER 4-18-2017,ID BY OWNER 3-16-2017
192,PEARSALL AVENUE,5/11/17,,VBR SENT TO OWNER 5-11-2017,
210,PEARSALL AVENUE,5/11/17,,VBR SENT TO OWNER 5-11-2017,
240,PEARSALL AVENUE,3/15/17,,VBR SENT TO BANK 3-15-2017,
44,PIERCE AVENUE,7/1/16,7/1/16,$250.00 Paid by bank,
179,PINE STREET,,,VBR SENT TO NEW OWNER 4/13/2018,
258,PINE STREET,12/28/11,12/28/11,$250.00 PAID 12-28-11 $250.00 3-10-12,
137,POPLAR STREET,9/11/13,10/21/13,$250.00 PD BY BANK 8-13-14 $500.00 paid by bank 7-29-2015,
79,PRESCOTT STREET,3/7/13,4/15/13,$250.00 paid by bank 1-5-2016,
338,PRINCETON AVENUE,9/24/15,,OWNER REGISTERED 2/2/17 NON-PROFIT NO FEE REQUIRED,
234-236,PRINCETON AVENUE,6/10/16,6/10/16,VBR $250.00 PAID BY MORTGAGE CONTRACTING SERVICES 2/20/2017,
387,PRINCETON AVENUE,6/13/16,6/13/16,$500 paid by bank 6/7/17,
248,PRINCTON AVENUE,5/24/13,,VBR SENT TO NEW OWNER 10-7-2016,
282,PRINCTON AVENUE,2/24/14,4/1/14,$250.00 PD BY NEW CREDITOR 10-12-16,
364,PRINCTON AVENUE,4/28/14,,VBR SENT TO NEW OWNER 10-7-2016,
20A,PROSPECT STREET,4/15/14,4/15/14,$250 PAID 4-15-14 /$500.00 paid by bank 3-9-2016 VBR SENT TO NEW OWNER 1/10/17,
29,PROSPECT STREET,,10/29/15,$250.00 PAID BY OWNER 10/28/16 VR,
113,PROSPECT STREET,6/22/16,9/16/16,$250 PAID BY OWNER,
79,PROSPECT STREET,2/25/17,2/25/17,$500 PAID 3/13/18,
126,RANDOLPH AVENUE,7/23/12,8/29/12,$500 paid 6/27/17,
134,RANDOLPH AVENUE,2/2/12,3/22/12,$250.00 paid by owner 1-30-2015,
245,RANDOLPH AVENUE,7/23/14,8/29/14,,
273,RANDOLPH AVENUE,1/23/15,1/23/15,$250.00 paid by bank/$500.00 paid by bank 3-8-2016,
23,RANDOLPH AVENUE,2/18/15,2/18/15,$250.00 PAID BY NEW CREDITOR ON 2/28/17,
156,RANDOLPH AVENUE,6/17/15,6/9/15,$250.00 Paid by bank/$500.00 paid by bank,
135,RANDOLPH AVENUE,,,$250.00 PAID BY OWNER 11/9/2016 VR,
175,RANDOLPH AVENUE,11/30/15,11/30/15,$250.00 paid by bank,
46,RAVINE AVENUE,4/22/14,4/22/14,$250 pd 4-22-14,
25,REED STREET,9/10/14,9/10/14,$250 pd by bank 9-10-14 $500.00 VBR ISSUED TO NEW OWNER 1/25/17,
1,RESERVOIR AVENUE,3/24/17,3/24/17,VBR $250.00 PAID BY BANK 3/24/2017,
142,ROMAINE AVENUE,3/22/17,3/22/17,VBR $500 PAID BY BANK,
79,ROOSEVELT AVENUE,3/23/15,3/23/15,$250.00 pd by bank 3-23-2015/$500.00 paid by bank 3/23/17,
420,ROSE AVENUE,,,VBR SENT TO OWNER 4/10/2018,
11,ROSE AVENUE,2/7/12,3/23/12,$250.00 PAID BY BANK,
56,ROSE AVENUE,4/12/12,6/22/12,$250.00 PAID BY BANK / $500 10-1-14,
60,ROSE AVENUE,12/8/11,2/14/12,$500 PAID 3/15/18,
