,Street Name,Registration Date ,Paid By ,Secured Date,Notes
26,ROSE AVENUE,10/25/16,11/25/16,$250.00 PAID BY BANK,
59,RUTGERS AVENUE,1/5/17,,$250.00 PAID BY OWNER 1-5-2017,
64,RUTGERS AVENUE,11/8/11,12/22/11,VBR SENT 1/2/18,
73,SANFORD PLACE,1/19/17,2/22/17,$250.00 VBR PAID.,
46,SEAVIEW AVENUE,5/6/14,5/6/14,$250.00 paid by owner 4-24-2016,
47,SEAVIEW AVENUE,3/15/18,3/15/18,$250.00 VBR PAID BY OWNER 3/15/2018,
53,SEAVIEW AVENUE,1/6/17,,,
19,SEAVIEW AVENUE,1/18/18,1/18/18,$250 PAID BY NEW OWNER 2/14/18,
367,SECOND STREET,6/29/17,6/29/17,$500 fee paid 12/29/17,
45,SHEFIELD AVENUE,12/10/13,1/15/14,VBR ISSUED TO NEW CREDITOR 5/23/17,
52,SHERMAN AVENUE,6/6/17,6/6/17,$250.00 PAID BY OWNER 6/6/2017,
99,SHERMAN AVENUE,6/6/14,7/6/14,"$250 PD BY BANK 6/23/14 $1,000 paid for 2016 and 2017 5/9/17",
102,SHERMAN AVENUE,3/21/12,4/2/12,$250.00 PAID,
113,SHERMAN AVENUE,4/20/12,4/20/12,$500.00 by bank 5-7-2015/$500.00 paid by bank 5-19-2016,
120,SHERMAN AVENUE,3/1/12,3/1/12,$250.00 PAID BY BANK CONDO # 3B,
127,SHERMAN AVENUE,12/2/11,3/17/15,$250 PAID 1/23/18,
26,SHERMAN AVENUE,10/19/16,11/18/16,$250.00 BY NATIONSTAR MORTGAGE,
99,SHERMAN PLACE,5/4/17,5/4/17,VBR FOR 2016 AND 2017 SENT TO OWNER 5-4-2017 DIARY 30 DAYS IF NOT PD PUT IN COURT PER ED,
62,SIEDLER STREET,1/16/15,3/30/15,$250.00 paid by bank,
25,SIEDLER STREET,3/6/15,3/6/15,$250.00 paid by bank,
60,SIEDLER STREET,5/1/14,4/22/15,$500.00 pd by bank / VBR ISSUED TO NEW OWNER 6/10/17,
15,SIEDLER STREET,3/9/16,3/9/16,$250.00 Paid by bank VBR SENT TO NEW OWNER 1/10/17,
8,SIEDLER STREET,7/25/16,7/25/16,$250.00 paid by owner,
26,SIEDLER STREET,12/2/11,2/7/12,$500 PD 11-24-14 BY owner / $500.00 paid by owner 3-24-2016,
64,SIEDLER STREET,11/16/2015,11/16/15,$250.00 paid owner,
338,SIP AVENUE,10/5/12,9/16/16,$500 PAID BY OWNER 9/16/16,
271-277,SIP AVENUE,11/16/11,1/4/12,$500.00 paid by owner 10-16-2015,
216.5,SIXTH STREET,12/28/11,2/28/12,,
2,SKILLMAN AVENUE,3/30/17,4/24/17,$250.00 PAID BY BANK,
133,SOUTH STREET,10/12/16,,VBR SENT TO OWNER 10-20-16,
157,SOUTH STREET,,,VBR SENT TO NEW OWNER 4/13/2018,
78,SOUTH STREET,5/15/14,6/25/14,,
25,ST. PAULS AVENUE,6/29/17,,VBR SENT TO OWNER 6/29/2017,
379,STEGMAN PARKWAY,6/2/17,6/2/17,$250.00 VBR PAID BY BANK,
360,STEGMAN PARKWAY,7/17/17,,VBR SENT TO OWNER 7-17-2017,
310,STEGMAN PARKWAY,12/17/12,2/1/13,VBR SENT TO NEW OWNER 10-6-2016,
263,STEGMAN STREET,9/27/13,9/27/13,"REGISTRATION SUBMITTED, OWNER WILL OCCUPY BY 7-1-2017",
203,STEGMAN STREET,1/15/15,12/14/16,$250 PAID BY BANK 12/14/16,
67,STEGMAN STREET,3/14/16,,,
207,STEGMAN STREET,3/14/16,,,
379,STEGMAN STREET,6/2/17,6/2/17,$250.00 VBR PAID BY BANK 6/2/2017,
179,STEGMAN STREET,1/21/17,1/21/17,REGISTERED FEE WAIVED FANNIE MAY,
169,STERLING AVENUE,2/26/13,4/1/13,$250 PAID by Lien Holder$250 PDBY OWNER5-23-14,
315,STEVENS AVENUE,6/14/17,6/14/17,$250.00 VBR PAID BY MORTGAGE COMPANY 6/2/2017,
86,STEVENS AVENUE,5/17/17,5/30/17,$250.00 PAID BY OWNER 6/6/2017,
84,STEVENS AVENUE,5/10/17,,VBR SENT TO OWNER 5-10-17,
316,STEVENS AVENUE,4/10/12,4/10/12,$250.00 paid by bank 8-19-2015/$500.00 paid by bank 8-15-2016,
321,STEVENS AVENUE,8/14/14,9/20/14,VBR ISSUED TO NEW OWNER 3/27/18,
37,STORMS AVENUE,7/27/15,7/27/15,$250.00 paid by owner 7-27-2015,
21,STORMS AVENUE,8/18/15,8/18/15,$250.00 Paid by owner,
36,STORMS AVENUE,10/1/16,70/1/16,$500 PAID BY BANK 10/1/16,
88A,SUBURBIA DRIVE,10/17/12,10/17/12,$500 PAID BY BANK 9/16/16,
57A,SUBURBIA DRIVE,9/19/16,10/4/16,$250.00 PAID BY 9-19-16.,
57A,SUBURBIA DRIVE,9/19/16,10/3/16,$250.00 PAID ON 9/19/16,
949.5,SUMMIT AVE,5/6/17,5/6/17,$250 PAID 5/6/17,
702,SUMMIT AVENUE,,,VBR SENT TO OWNER 4/20/2018,
1039,SUMMIT AVENUE,4/19/17,4/22/17,$250 PAID BY NEW OWNER 4/22/17,
29,SUMMIT AVENUE,5/24/13,9/23/16,$250.00 paid by John Borders 9/23/2016,
102,SUMMIT AVENUE,12/20/13,,VBR SENT TO NEW OWNER 10-7-2016,
206,SUMMIT AVENUE,2/6/17,2/6/17,VBR $250.00 PAID BY SAFEGUARD PROPERTIES MANAGEMENT 2/6/2017,
225,SUMMIT AVENUE,10/9/15,10/9/15,$250.00 paid by bank,
972,SUMMIT AVENUE,6/20/16,,VBR ISSUED TO NEW OWNER 2/22/17,
669,SUMMIT AVENUE,2/16/17,,VBR SENT TO OWNER 2/16/2017,
687,SUMMIT AVENUE,6/1/12,7/21/12,$250.00 PAID,
689,SUMMIT AVENUE,2/7/12,3/23/12,$250.00 paid by owner 7-22-2016,$500 FEE PAID 3/6/18
152,SUSSEX STREET,12/8/11,2/14/12,$250.00 paid by bank 3/4/2016 VBR SENT TO NEW OWNER 12/27/16,
158,SUSSEX STREET,10/16/13,11/11/13,$500 10-21-14 by bk $500.00 paid by bank10/26/16,
152,SUSSEX STREET,1/21/17,1/21/17,NEW APRA VBR ISSUED TO OWNER 1/21/17,
60,SYCAMORE ROAD,1/5/12,3/5/12,VBR SENT TO NEW OWNER 10-7-2016,
40,SYCAMORE ROAD,7/15/16,7/15/16,$250.00 Paid by bank VBR SENT TO NEW OWNER 3/21/17,
30,TERHUNE AVENUE,3/10/17,3/10/17,VBR PAID BY NEW OWNER $250.00 ON 3/16/2017,
19,TERHUNE AVENUE,12/16/11,2/16/12,$500 PD 11-14 $500.00 paid by bank 10-18-16,
80,TERHUNE AVENUE,4/22/14,4/22/14,$500.00 pd by bank 4-2015/$500.00 paid by bank 7/12/17,
28,TERHUNE AVENUE,8/25/14,9/30/14,,
84,TERHUNE AVENUE,3/4/13,3/4/13,$250.00 by bank 2-16-2015 $500.00 paid by BANK 2/2/17,
325,TERRACE AVENUE,2/8/17,2/8/17,$250.00 VBR PAID BY FIVE BROTHERS 2/8/2017,
298,TERRACE AVENUE,6/22/12,9/15/16,$250.00 paid by Mortgage Contracting Services on 9-15-2016,
95,TERRACE AVENUE,11/4/16,,,
307,THIRD STREET,4/18/16,4/18/16,$250.00 paid by owner,
19,THORNE STREET,6/19/12,6/19/12,HUD OWNED FEE WAIVED,
124,THORNE STREET,6/23/17,6/23/17,VBR $250.00 PAID BY NEW OWNER ON 6/23/2017,
70,THORNE STREET,9/19/14,11/1/14,,
187,TONNELE AVENUE,11/17/11,1/5/12,$500 PAID BY OWNER 9-15-16,
634,TONNELE AVENUE,11/18/11,1/6/12,VBR SENT TO NEW OWNER 7/11/17,
2,TOWERS STREET,5/27/12,7/28/12,$250.00 pd by bank 5-15-2015 PAID $500.00 ON 11-1-6,
82,UNION STREET,12/8/12,12/8/12,$250 PAID BY BANK 3-6-14 $250.00 7-27-2015/$500.00 by bank 12-24-2015,
20,UNION STREET,,,VBR SENT TO OWNER 4/20/2018,
311,UNION STREET,6/20/17,6/20/17,VBR PAID BY NEW OWNER 6/20/2017,
166,UNION STREET,11/1/11,12/8/11,$250.00 PAID 11-18-11 $500.00 pd 12-2014,
217,UNION STREET,5/12/15,5/7/15,$250.00 paid by bank 5-7-2015,
152,UNION STREET,3/13/2018,3/13/2018,$250 PAID 3/13/17,
134,VAN HORNE STREET,6/21/17,,VBR SENT TO OWNER 6/21/2017,
137,VAN HORNE STREET,4/10/13,4/10/13,$250.00 PAID BY BANK,
180,VAN HORNE STREET,2/24/14,4/1/14,$250.00 VBR PAID BY BANK 1/9/18,
191,VAN HORNE STREET,11/9/11,12/23/11,$250.00 paid by owner,
98,VAN HORNE STREET,8/15/16,,,
144,VAN NOSTRAND AVENUE,2/28/18,2/28/2018,$250.00 VBR PAID BY M&M MORTGAGE SERVICES,D BY M&M MORTGAGE SERVICES 2/28/2018
137,VAN NOSTRAND AVENUE,2/9/17,2/9/17,$250.00 VBR PAID BY ASSURANT FIELD ASSET SERVICES 2/9/2017,
211,VAN NOSTRAND AVENUE,1/25/12,3/20/12,$250 PAID 2/21/18,
289,VAN NOSTRAND AVENUE,6/3/14,6/14/14,$250 PD BY OWNER/$250.00 paid by owner 4-6-2016 $500.00,
116,VAN NOSTRAND AVENUE,9/20/12,9/20/12,$500.00 pid by bank 8-17-2015/$500.00 paid by bank 8-19-2016,
152,VAN NOSTRAND AVENUE,3/11/15,3/11/15,$250.00 paid by bank $500.00 paid by bank 10-6-2015,
37,VAN NOSTRAND AVENUE,,10/16/15,$250.00 paid by bank VBR ISSUED TO NEW OWNER 4/5/17,
44,VAN NOSTRAND AVENUE,3/22/16,3/22/16,$250.00 paid by bank,
32,VAN REYPEN AVENUE,4/24/17,4/24/17,VBR SENT TO OWNER 4-24-2017,
60,VAN WAGENEN AVE,7/21/16,7/21/16,$250.00 paid by bank,
97,VIRGINIA AVENUE,5/22/14,5/22/14,CITY OWNED PROPERTY,
98,VIRGINIA AVENUE,9/24/14,10/30/14,$250 PD 10-27-14 BY BK $500.00 paid by bank 11/2/16,
157,VIRGINIA AVENUE,2/28/12,2/28/12,$250.00 PAID BY BANK $500.00 paid by bank 10/18/16,
179,VIRGINIA AVENUE,4/10/18,4/10/18,$250.00 VBR PAID BY BANK 3/27/2018,ID BY BANK 4-10-2018
175,VIRGINIA AVENUE,4/3/13,4/13/13,$500.00 pd by bank 4-14-2015/$500.00 paid by bank 5/4/17,
245,VIRGINIA AVENUE,6/12/12,6/12/12,$500 PD BY BK 10-27-14 $500.00 paid by bank 10-18-16,
286,VIRGINIA AVENUE,11/24/14,11/24/14,$250 PD BY BK 11-24-14,
205,VIRGINIA AVENUE,2/23/12,3/30/12,$250.00 paid by bank 5-5-2016,
398,VIRGINIA AVENUE,12/24/15,12/24/15,$250.00 paid by bank,
122,VIRGINIA AVENUE,1/16/18,1/126/2018,$250.00 VBR PAID BY OWNER 1/16/2018,
25,VIRGINIA AVENUE,11/29/16,,,
59,WADE STREET,4/9/12,6/25/12,$500. PD BY OWNER $500.00 paid by owner 10-24-2015,
126,WADE STREET,10/17/12,10/17/12,$500.00 PD BY BANK 8-13-14 4500.00 paid by bank 10-22-2015,
97,WADE STREET,6/19/14,9/13/16,"$250 Paid by WF Partners, LLC 9/13/2016",
138,WADE STREET,12/12/14,1/22/15,Paid $250.00 3/20/17,
78,WADE STREET,9/7/16,9/29/16,VBR ISSUED TO NEW OWNER 4/17/18,
18,WADE STREET,9/28/16,10/11/16,VBR ISSUED TO NEW OWNER 4/17/18,
37,WADE STREET,,,VBR ISSUED TO NEW OWNER 4/17/18,
57,WALES AVENUE,2/8/12,3/21/12,PAID 10-17-12$250 4-23-14 $500.00 by bank 4-17-2015,
37,WALES AVENUE,4/18/2018,4/18/2018,VBR ISSUED TO NEW OWNER 4/18/18,
127,WARNER AVENUE,9/26/16,,$250.00 PAID BY OWNER 10-25-16 VR,
65,WARNER AVENUE,1/27/17,3/23/17,$250 paid 3/23/17,
11,WAVERLY STREET,9/27/13,9/27/13,$250.00 PAID BY BANK 4-15-14,
11,WAVERLY STREET,2/15/16,2/15/16,VBR SENT TO NEW OWNER 10-11-2016,
56,WAYNE STREET,9/18/13,6/10/15,$500 pd by owner 5-21-14 $500.00 paid by bank,
70,WAYNE STREET,10/29/14,12/1/14,,
72,WAYNE STREET,11/21/11,11/21/11,$250 PAID 11-28-11 $500 9-12 $500 4-14-14,
423,WAYNE STREET,,9/16/15,$500.00 paid by bank 9-16-2015,
152.5,WAYNE STREET,2/14/18,2/14/18,$500 PAID 2/14/18,
197,WEBSTER AVENUE,7/5/17,7/5/17,VBR SENT TO NEW OWNER 7-5-2017,
271,WEBSTER AVENUE,10/28/11,12/1/11,$250.00 PAID by owner 2/25/17,
128,WEBSTER AVENUE,12/30/13,12/30/13,$500.00 PAID 2/28/17,
41,WEBSTER AVENUE,6/10/07,6/10/17,VBR SENT TO OWNER 6/10/17,
58,WEGMAN PARKWAY,12/10/12,12/10/12,$250.00 PAID BY BANK,
89,WEGMAN PARKWAY,2/7/12,9/16/16,$250 PAID BY OWNER,
98,WEGMAN PARKWAY,6/16/16,6/16/16,$250.00 paid by owner,
121-123,WEGMAN PARKWAY,12/7/16,,VBR SENT TO OWNER 12/7/16,
34,WEGMAN PARKWAY,,,VBR SENT TO OWNER 3/13/18,
142,WEGMAN PARKWAY,1/17/17,1/17/17,$500 PAID BY OWNER 1/31/16,
148,WEST SIDE AVENUE,5/1/12,6/1/12,VBR ISSUED TO NEW OWNER 4/18/18,
301,WEST SIDE AVENUE,10/11/16,10/11/16,$250.00 PAID BY BANK,
443,WEST SIDE AVENUE,4/25/12,6/1/12,$250.00 PAID BY OWNER,
757,WEST SIDE AVENUE,4/23/14,4/23/14,$500 fee paid 3/25/17,
999,WEST SIDE AVENUE,2/23/12,3/30/12,$250.00 paid by owner 4-6-2016,
1019,WEST SIDE AVENUE,5/2/12,6/12/12,VBR ISSUED TO NEW OWNER 1/18/18,
650,WEST SIDE AVENUE,11/2/11,12/9/11,VBR ISSUED TO NEW OWNER 4/18/18,
410,WEST SIDE AVENUE,1/7/16,1/7/16,VBR ISSUED TO NEW OWNER 6/18/18,
98,WEST SIDE AVENUE,10/28/16,,,
31,WESTERN AVENUE,6/11/14,6/11/14,$500.00 pd by bank 12/29/17,
35,WESTERVELT PLACE,8/19/16,10/5/16,$250.00 PAID BY OWNER 11/29/2016 VR,
36,WESTERVELT PLACE,8/21/13,9/20/13,$250 PD 5-23-14 $500.00 pd by owner 7-15-2015,
305,WESTERVELT PLACE,4/25/13,5/25/13,$250.00 pd. - $500.00 paid by owner 1-27-2015,
288,WHITON STREET,7/27/12,7/27/12,$250.00 PAID 7-27-12/$500.00 paid by owner,
376,WHITON STREET,6/21/17,,VBR SENT TO OWNER 6/21/2017,
299,WHITON STREET,3/5/12,5/2/12,,
302,WHITON STREET,3/5/12,5/2/12,,
288,WHITON STREET,8/8/12,9/27/16,$250.00 PAID 9/27/2016,
111,WHITON STREET,12/29/15,12/29/15,$250.00 paid by owner,
227,WHITON STREET,4/18/2018,4/18/2018,VBR ISSUED TO NEW OWNER 4/18/18,
133,WILKINSON AVENUE,11/9/12,12/16/12,$250 pd by bk 11-14/$500.00 paid by bank 2/14/18,
172,WILKINSON AVENUE,11/30/11,2/7/12,$250.00 PAID1-6-12,
84,WILKINSON AVENUE,4/27/12,7/1/12,$500 PD BY BANK 5-29-14 $500.00 pd by owner 7-28-2015,
98,WILKINSON AVENUE,2/1/17,2/1/17,$250.00 VBR PAID BY MORTGAGE COMPANY 2-1-2017,
91,WILKINSON AVENUE,6/16/15,6/4/15,$250.00 paid by bank,
170,WILKINSON AVENUE,7/27/15,7/27/15,$250.00 PAID BY OWNER 11-17-2016,
106,WILKINSON AVENUE,1/20/16,,,
204,WILKINSON AVENUE,7/13/16,7/13/16,VBR ISSUED TO NEW OWNER 2/1/17,
210,WILKINSON AVENUE,9/19/16,,,
113,WILKINSON AVENUE,9/19/16,,,
117,WILKINSON AVENUE,9/26/16,10/24/16,$250.00 PAID BY DAKOTA ASSET SERVICES,
58,WILKINSON AVENUE,2/2/17,4/19/17,$250 PAID BY OWNER 4/19/17,
83,WILLIAMS AVENUE,3/16/12,3/16/12,$250.00 PAID BY BANK,
127,WILLIAMS AVENUE,2/21/12,3/30/12,$500.00 pd by bank 4-21-2015/$500.00 paid by bank 6-28-2016,
20,WINFIELD AVENUE,6/21/17,,VBR SENT TO OWNER 6/21/2017,
39,WINFIELD AVENUE,10/16/14,10/16/14,$250 PD BY BK 10-16-14/$500.00 paid by bank 7/6/17,
109,WINFIELD AVENUE,11/30/11,2/7/12,VBR ISSUED TO NEW OWNER 2/8/18,
74,WINFIELD AVENUE,10/28/16,11/2/16,$250.00 PAID ON 10/28/16,
119,WINFIELD AVENUE,1/12/17,2/23/17,$250.00 VBR PAID.,
273,WINFIELD AVENUE,8/21/12,12/22/14,VBR ISSUED TO NEW OWNER 12/27/17,
313,WINFIELD AVENUE,6/3/12,7/21/12,"SUMMS ISS 9-20-2012 DISMISSED, OWNER IS",
83,WINFIELD AVENUE,4/22/14,4/22/14,$500.00 pd by bank 4-2015/$500.00 paid by bank 5/4/17,
101,WOODLAWN AVENUE,4/17/18,4/17/18,$250.00 VBR PD BY OWNER 4/17/2018,
102,WOODLAWN AVENUE,2/16/12,3/29/12,$500.00 PD BY OWNER 8-13-14 $500.00 pd by owner 9-15-2015,
156,WOODLAWN AVENUE,11/18/11,1/10/12,$500.00 paid by bank 9-17-2015,
158,WOODLAWN AVENUE,11/18/11,1/10/12,$500 PD BY BK 10-27-14 /$500.00 pd by bank 12-23-2015,
161,WOODLAWN AVENUE,1/3/12,2/29/12,$250.00 PAID BY BANK 12/7/16,
176,WOODLAWN AVENUE,8/22/14,9/30/14,,
262,WOODLAWN AVENUE,3/20/13,3/20/13,$250.00 PAID,
412,WOODLAWN AVENUE,9/24/14,10/30/14,$250 PD by bk 10-28-14,
288,WOODLAWN AVENUE,3/16/12,6/7/12,500.00 PAID 11/19/16,
259,WOODLAWN AVENUE,3/19/12,3/19/12,$250.00 paid by bank 6-20-2016,
405,WOODLAWN AVENUE,8/25/14,8/28/14,$250.00 paid by bank $500.00 paid by bank 9-23-2015,
101,WOODLAWN AVENUE,1/12/16,1/12/16,$250.00 paid by bank,
397,WOODLAWN AVENUE,12/21/16,,,
106,WOODLAWN AVENUE,12/27/15,,VBR SENT TO NEW OWNER 12/29/16,
161,WOODLAWN AVENUE,4/18/2018,4/18/2018,VBR ISSUED TO NEW OWNER 4/18/18,
108,WOODWARD STREET,2/1/12,3/21/12,$250.00 PAID /$500.00 paid by owner 7-12-2016,
104-104.5,WOODWARD STREET,3/20/12,6/19/12,$250.00 PAID /$500.00 paid by owner 7-12-2016,
128,WOODWARD STREET,1/3/12,3/5/12,SUMM ISS 5-23-2012,
28,WOODWARD STREET,2/28/17,,,
131,yale,2/7/18,2/7/18,250 PAID 2/7/18,
184,ZABRISKIE STREET,2/15/12,3/29/12,$500.00 pd by bank 4-13-2015/$500.00 paid by bank 3-30-2016,
21,ZABRISKIE STREET,9/27/16,9/27/16,VBR ISSUED TO NEW OWNER 4/18/18,
174,ZABRISKIE STREET,3/2/17,3/2/17,$250 PAID 3/2/17,
131,ZABRISKIE STREET,4/18/2018,4/18/2018,VBR ISSUED TO NEW OWNER 4/18/18,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
